#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
28,16,0.35,-4.37,0.0171,4.27e-05,Moderately soluble,-5.67,0.000859,2.14e-06,Moderately soluble,-7.33,1.86e-05,4.65e-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.24,0,0,0,0,0,0.55,0,0,3,3.59
21,11,0.38,-3.77,0.0516,0.000171,Soluble,-4.06,0.0261,8.67e-05,Moderately soluble,-5.24,0.00172,5.71e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.11,0,0,0,0,0,0.55,0,0,0,3.44
22,13,0.47,-3.37,0.128,0.000431,Soluble,-3.24,0.172,0.000577,Soluble,-3.61,0.0725,0.000244,Soluble,High,No,No,Yes,Yes,No,No,No,-6.49,0,0,0,0,0,0.55,0,0,0,3.09
35,17,0.5,-5.29,0.00252,5.1e-06,Moderately soluble,-5.38,0.00208,4.2e-06,Moderately soluble,-6.83,7.28e-05,1.47e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.66,0,2,0,0,0,0.55,0,0,2,4.24
20,12,0.25,-3.33,0.124,0.000464,Soluble,-2.94,0.306,0.00114,Soluble,-4.66,0.00583,2.17e-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-6.23,0,0,0,0,0,0.55,0,0,0,2.79
30,10,0.48,-3.66,0.0921,0.00022,Soluble,-3.71,0.081,0.000193,Soluble,-5.52,0.00126,3.01e-06,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.17,0,0,0,0,0,0.55,0,0,2,3.15
25,10,0.25,-2.92,0.445,0.00121,Soluble,-3.93,0.0431,0.000118,Soluble,-3.31,0.179,0.000489,Soluble,High,No,No,No,No,No,No,No,-7.44,0,0,0,1,0,0.56,0,0,1,3.4
21,16,0.0,-4.49,0.00947,3.23e-05,Moderately soluble,-4.94,0.00339,1.16e-05,Moderately soluble,-4.25,0.0166,5.68e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.38,0,0,0,0,0,0.55,0,0,1,3.56
19,9,0.4,-2.7,0.514,0.002,Soluble,-1.91,3.17,0.0123,Very soluble,-3.47,0.0878,0.000341,Soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.69,0,0,0,0,0,0.55,0,0,0,2.98
26,9,0.67,-2.73,0.667,0.00187,Soluble,-2.78,0.592,0.00166,Soluble,-4.03,0.0335,9.38e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.56,0,0,0,0,0,0.55,0,0,1,3.7
17,5,0.6,-3.05,0.26,0.000882,Soluble,-3.61,0.0724,0.000246,Soluble,-3.13,0.218,0.000738,Soluble,High,No,No,Yes,Yes,No,No,No,-6.56,0,0,0,0,0,0.55,0,0,0,3.08
18,5,0.77,-2.08,2.23,0.00828,Soluble,-2.01,2.61,0.00969,Soluble,-2.29,1.38,0.00512,Soluble,High,No,Yes,No,No,No,No,No,-7.23,0,0,0,0,0,0.55,0,0,0,3.3
24,16,0.22,-4.75,0.00609,1.79e-05,Moderately soluble,-4.79,0.0055,1.62e-05,Moderately soluble,-5.85,0.000479,1.41e-06,Moderately soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-5.63,0,0,0,0,0,0.55,0,0,1,2.74
17,6,0.54,-3.03,0.236,0.000926,Soluble,-3.57,0.0685,0.000268,Soluble,-4.8,0.00402,1.57e-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-5.89,0,0,0,0,0,0.55,0,0,0,2.0
25,23,0.0,-5.97,0.000416,1.06e-06,Moderately soluble,-5.92,0.000468,1.19e-06,Moderately soluble,-7.79,6.3e-06,1.61e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.06,0,0,0,0,1,0.55,0,0,2,3.0
34,23,0.24,-4.76,0.00802,1.75e-05,Moderately soluble,-4.97,0.00485,1.06e-05,Moderately soluble,-8.71,8.88e-07,1.94e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.79,0,1,0,0,0,0.55,0,0,1,3.61
19,6,0.6,-1.31,14.3,0.0493,Very soluble,-1.78,4.77,0.0165,Very soluble,-2.85,0.41,0.00142,Soluble,High,No,No,No,No,No,No,No,-8.4,0,0,0,0,0,0.55,0,0,0,3.27
33,15,0.46,-4.95,0.00496,1.11e-05,Moderately soluble,-4.87,0.00605,1.36e-05,Moderately soluble,-7.8,6.98e-06,1.57e-08,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-6.08,0,1,0,0,0,0.55,0,0,3,4.03
22,12,0.22,-3.43,0.11,0.000372,Soluble,-3.77,0.0498,0.000168,Soluble,-3.84,0.0429,0.000145,Soluble,High,Yes,Yes,Yes,No,No,No,No,-6.29,0,0,0,0,0,0.85,0,0,0,3.11
22,14,0.24,-3.95,0.0327,0.000112,Soluble,-4.71,0.00564,1.93e-05,Moderately soluble,-5.8,0.000458,1.57e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.73,0,0,0,0,0,0.55,0,1,0,2.88
31,17,0.11,-6.42,0.000199,3.83e-07,Poorly soluble,-6.66,0.000114,2.2e-07,Poorly soluble,-8.6,1.29e-06,2.49e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-5.7,2,2,0,1,1,0.17,0,1,2,2.98
22,15,0.2,-3.55,0.0831,0.00028,Soluble,-4.09,0.0243,8.21e-05,Moderately soluble,-5.05,0.00263,8.87e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-6.34,0,0,0,0,0,0.55,0,0,0,3.07
23,9,0.44,-3.28,0.199,0.000527,Soluble,-2.67,0.812,0.00215,Soluble,-4.2,0.0237,6.28e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-7.47,0,0,0,0,0,0.55,0,0,1,3.01
35,12,0.48,-6.5,0.000191,3.15e-07,Poorly soluble,-6.98,6.31e-05,1.04e-07,Poorly soluble,-9.31,2.99e-07,4.93e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-6.12,1,3,1,1,2,0.55,0,0,3,4.31
34,15,0.62,-4.58,0.0123,2.62e-05,Moderately soluble,-5.32,0.00225,4.79e-06,Moderately soluble,-6.75,8.35e-05,1.78e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.95,0,0,0,0,0,0.55,0,0,1,4.43
22,11,0.41,-4.24,0.0184,5.81e-05,Moderately soluble,-5.42,0.00121,3.83e-06,Moderately soluble,-5.97,0.000341,1.08e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.53,0,0,0,0,0,0.55,0,2,1,3.45
26,11,0.44,-5.47,0.00147,3.38e-06,Moderately soluble,-7.42,1.64e-05,3.77e-08,Poorly soluble,-6.17,0.000295,6.78e-07,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-5.55,0,1,0,1,0,0.55,0,0,2,3.77
21,12,0.2,-2.22,1.74,0.00598,Soluble,-2.24,1.66,0.00572,Soluble,-2.14,2.09,0.00719,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.5
26,6,0.71,-5.07,0.00323,8.49e-06,Moderately soluble,-5.79,0.000618,1.62e-06,Moderately soluble,-5.32,0.00182,4.78e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-5.06,0,0,0,0,1,0.55,0,0,2,3.34
22,9,0.64,-2.29,1.56,0.00507,Soluble,-2.45,1.1,0.00358,Soluble,-2.9,0.386,0.00125,Soluble,High,No,Yes,No,No,No,No,No,-7.46,0,0,0,0,0,0.55,0,0,0,3.07
26,21,0.1,-4.62,0.00811,2.38e-05,Moderately soluble,-4.53,0.0101,2.95e-05,Moderately soluble,-7.38,1.43e-05,4.19e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.83,0,0,0,0,0,0.55,0,0,1,2.79
22,14,0.31,-2.99,0.348,0.00103,Soluble,-3.7,0.0675,0.0002,Soluble,-4.66,0.00743,2.2e-05,Moderately soluble,High,No,No,Yes,No,No,No,Yes,-7.33,0,0,0,0,0,0.55,0,0,0,3.23
25,17,0.21,-4.61,0.0086,2.43e-05,Moderately soluble,-4.83,0.0052,1.47e-05,Moderately soluble,-5.89,0.000456,1.29e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.96,0,0,0,0,0,0.55,0,0,2,4.32
24,11,0.33,-3.31,0.191,0.000493,Soluble,-4.31,0.0192,4.95e-05,Moderately soluble,-5.34,0.00176,4.54e-06,Moderately soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-7.26,0,0,0,0,0,0.55,0,0,2,3.06
21,17,0.0,-4.7,0.00612,1.98e-05,Moderately soluble,-4.88,0.00405,1.31e-05,Moderately soluble,-6.49,0.000101,3.27e-07,Poorly soluble,High,Yes,No,Yes,Yes,No,No,No,-5.39,0,0,0,0,0,0.55,0,0,1,2.77
26,6,0.58,-3.58,0.101,0.000265,Soluble,-3.91,0.0465,0.000122,Soluble,-4.53,0.0113,2.97e-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,No,-6.81,0,0,0,0,0,0.55,0,0,1,2.9
25,9,0.53,-2.14,2.5,0.00727,Soluble,-2.14,2.48,0.0072,Soluble,-2.85,0.486,0.00141,Soluble,High,No,Yes,No,No,No,No,No,-8.15,0,0,0,0,0,0.55,0,0,0,3.66
21,11,0.31,-2.49,0.985,0.00322,Soluble,-3.05,0.271,0.000885,Soluble,-3.3,0.154,0.000502,Soluble,High,No,No,No,No,No,No,No,-7.61,0,1,0,0,0,0.55,0,0,0,3.74
28,17,0.29,-3.71,0.0746,0.000196,Soluble,-3.62,0.0907,0.000238,Soluble,-5.49,0.00122,3.21e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,No,Yes,-6.83,0,0,0,0,0,0.55,0,0,2,3.47
31,16,0.42,-6.06,0.000379,8.75e-07,Poorly soluble,-6.66,9.6e-05,2.21e-07,Poorly soluble,-7.36,1.9e-05,4.39e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.03,1,1,0,0,1,0.55,0,0,2,4.67
28,12,0.28,-4.38,0.0187,4.19e-05,Moderately soluble,-4.87,0.00599,1.34e-05,Moderately soluble,-6.74,8.16e-05,1.82e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.73,0,0,0,0,0,0.55,0,0,2,2.9
16,6,0.44,-2.79,0.498,0.00162,Soluble,-3.02,0.294,0.000953,Soluble,-3.35,0.138,0.000448,Soluble,High,No,No,Yes,Yes,No,No,No,-7.02,0,0,0,0,0,0.55,0,0,0,2.71
18,11,0.33,-3.27,0.143,0.000538,Soluble,-3.48,0.0877,0.000329,Soluble,-4.36,0.0117,4.38e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.14,0,0,0,0,0,0.55,0,0,0,2.4
20,11,0.23,-3.12,0.221,0.000761,Soluble,-3.31,0.141,0.000487,Soluble,-4.03,0.0273,9.42e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,0,0,4.21
26,17,0.16,-3.8,0.0558,0.000159,Soluble,-4.27,0.019,5.43e-05,Moderately soluble,-5.9,0.00044,1.26e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.45,0,0,0,0,0,0.55,0,0,1,2.55
20,11,0.08,-6.64,0.000122,2.3e-07,Poorly soluble,-5.99,0.000543,1.02e-06,Moderately soluble,-6.62,0.000128,2.4e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.76,1,1,0,0,1,0.55,0,0,2,2.84
22,13,0.21,-4.82,0.00577,1.51e-05,Moderately soluble,-5.93,0.000448,1.17e-06,Moderately soluble,-5.05,0.0034,8.89e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-5.88,0,0,0,0,0,0.56,0,0,2,3.32
24,18,0.11,-4.04,0.0289,9.14e-05,Moderately soluble,-3.98,0.0333,0.000105,Soluble,-6.55,8.81e-05,2.79e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.04,0,0,0,0,0,0.55,0,0,0,2.4
28,12,0.4,-2.96,0.415,0.00109,Soluble,-2.76,0.658,0.00173,Soluble,-4.29,0.0197,5.19e-05,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.73,0,0,0,0,0,0.55,0,0,1,3.52
28,22,0.18,-4.03,0.0348,9.36e-05,Moderately soluble,-3.49,0.12,0.000322,Soluble,-5.84,0.000538,1.45e-06,Moderately soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.81,0,0,0,0,0,0.55,0,0,1,3.64
21,15,0.24,-3.73,0.0517,0.000185,Soluble,-3.45,0.0993,0.000355,Soluble,-5.72,0.000526,1.88e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.02,0,0,0,0,0,0.55,0,0,0,2.67
17,10,0.17,-2.73,0.588,0.00187,Soluble,-1.56,8.65,0.0275,Very soluble,-4.94,0.00358,1.14e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-7.5,0,0,0,0,0,0.55,0,0,0,2.31
20,12,0.19,-2.93,0.316,0.00116,Soluble,-2.91,0.337,0.00124,Soluble,-5.59,0.000693,2.55e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-6.34,0,0,0,0,0,0.55,0,0,0,1.92
29,12,0.35,-4.72,0.00929,1.92e-05,Moderately soluble,-4.86,0.00663,1.37e-05,Moderately soluble,-6.28,0.000253,5.24e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.96,0,1,0,0,0,0.55,0,0,1,3.76
30,16,0.27,-4.49,0.0136,3.21e-05,Moderately soluble,-5.32,0.00205,4.82e-06,Moderately soluble,-5.65,0.000959,2.26e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.46,0,0,0,0,0,0.55,0,1,2,3.74
23,16,0.25,-3.02,0.294,0.000955,Soluble,-2.48,1.03,0.00335,Soluble,-3.81,0.0472,0.000153,Soluble,High,No,No,No,Yes,No,No,Yes,-7.1,0,0,0,0,0,0.55,0,0,0,3.38
34,12,0.23,-4.05,0.0414,8.98e-05,Moderately soluble,-4.21,0.0284,6.17e-05,Moderately soluble,-5.98,0.000484,1.05e-06,Moderately soluble,High,No,No,No,No,No,No,Yes,-7.43,0,0,0,0,0,0.56,0,1,1,5.94
28,19,0.18,-6.28,0.000237,5.23e-07,Poorly soluble,-6.4,0.000181,3.99e-07,Poorly soluble,-7.62,1.09e-05,2.41e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.3,0,0,0,0,1,0.55,0,0,2,2.83
26,16,0.3,-4.45,0.0131,3.54e-05,Moderately soluble,-3.94,0.0426,0.000115,Soluble,-6.22,0.000223,6.04e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.23,0,0,0,0,0,0.55,0,0,1,3.41
25,6,0.58,-3.43,0.134,0.000369,Soluble,-2.82,0.554,0.00152,Soluble,-3.91,0.0446,0.000122,Soluble,High,Yes,Yes,No,Yes,No,Yes,No,-6.92,0,0,0,0,0,0.55,0,0,1,2.43
26,12,0.37,-2.83,0.532,0.00149,Soluble,-2.36,1.56,0.00439,Soluble,-4.85,0.00505,1.42e-05,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.69,0,0,0,0,0,0.55,0,0,1,3.19
30,11,0.48,-4.13,0.0322,7.42e-05,Moderately soluble,-4.69,0.00894,2.06e-05,Moderately soluble,-5.88,0.000574,1.32e-06,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.0,0,0,0,0,0,0.55,0,0,1,3.48
34,19,0.38,-5.12,0.00346,7.54e-06,Moderately soluble,-5.54,0.00133,2.9e-06,Moderately soluble,-6.71,8.98e-05,1.95e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.31,0,1,0,0,0,0.55,0,0,2,3.53
25,10,0.5,-4.43,0.0135,3.71e-05,Moderately soluble,-4.88,0.00481,1.33e-05,Moderately soluble,-5.34,0.00165,4.56e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.84,0,0,0,0,0,0.55,0,0,2,3.0
32,23,0.12,-4.84,0.00605,1.43e-05,Moderately soluble,-4.67,0.00908,2.15e-05,Moderately soluble,-7.75,7.56e-06,1.79e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.34,0,0,0,0,0,0.55,0,0,2,3.8
29,22,0.15,-4.95,0.00476,1.12e-05,Moderately soluble,-5.88,0.000566,1.33e-06,Moderately soluble,-7.64,9.86e-06,2.31e-08,Poorly soluble,Low,No,No,Yes,No,Yes,No,Yes,-6.38,0,0,0,0,0,0.55,0,0,2,3.96
